Time_of_Day,Day_of_Week,Month,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit,Driver_Age,Driver_Gender,Alcohol_Involvement,Number_of_Vehicles_Involved,Accident_Severity
Night,Friday,Mar,Rain,Highway,Dry,Daylight,Speed Breaker,100,67,Female,No,2,Minor
Night,Wednesday,Dec,Rain,Highway,Wet,Daylight,Speed Breaker,50,48,Male,No,1,Minor
Night,Friday,Aug,Rain,City Road,Dry,Street Lit,Signal,100,62,Female,No,1,Minor
Morning,Tuesday,Aug,Storm,Rural Road,Wet,Daylight,Signal,50,42,Female,No,1,Minor
Night,Monday,May,Fog,City Road,Dry,Daylight,Signal,40,76,Male,No,2,Fatal
Morning,Wednesday,Dec,Rain,City Road,Wet,Street Lit,Signal,80,56,Female,No,1,Minor
Afternoon,Sunday,Jan,Clear,Rural Road,Dry,Street Lit,None,80,77,Male,No,2,Major
Morning,Sunday,Oct,Clear,Highway,Dry,Daylight,None,40,38,Male,No,4,Fatal
Afternoon,Tuesday,Jul,Clear,City Road,Dry,Street Lit,Signal,50,72,Male,No,1,Minor
Night,Tuesday,Dec,Rain,City Road,Dry,Street Lit,Signal,120,73,Female,No,1,Minor
Night,Wednesday,Oct,Clear,Rural Road,Wet,Daylight,Signal,80,74,Male,No,2,Major
Afternoon,Friday,May,Clear,Rural Road,Dry,Daylight,Signal,80,67,Male,No,3,Major
Evening,Saturday,Aug,Fog,City Road,Wet,No Lighting,Signal,50,55,Male,No,3,Minor
Afternoon,Sunday,Sep,Fog,Highway,Dry,Daylight,Speed Breaker,40,58,Male,No,1,Minor
Evening,Sunday,Nov,Storm,City Road,Wet,Daylight,None,50,46,Male,Yes,1,Minor
Morning,Tuesday,Jul,Clear,Highway,Dry,Daylight,Speed Breaker,50,23,Male,No,2,Minor
Morning,Thursday,Jul,Rain,City Road,Dry,Street Lit,Signal,50,35,Male,No,2,Minor
Morning,Tuesday,Jan,Clear,Rural Road,Dry,Daylight,Signal,50,66,Male,No,1,Minor
Night,Saturday,Apr,Clear,Highway,Wet,Daylight,Speed Breaker,60,61,Male,Yes,1,Major
Morning,Friday,Feb,Clear,City Road,Dry,Daylight,None,50,52,Male,No,2,Fatal
Evening,Friday,Feb,Clear,City Road,Under Construction,No Lighting,None,100,44,Female,No,1,Major
Morning,Thursday,Feb,Clear,City Road,Under Construction,Daylight,None,50,22,Female,No,3,Fatal
Afternoon,Sunday,Apr,Fog,Highway,Dry,Daylight,Speed Breaker,60,24,Male,No,1,Major
Afternoon,Tuesday,Jan,Clear,City Road,Wet,No Lighting,Speed Breaker,30,27,Male,No,2,Major
Night,Friday,Apr,Rain,Rural Road,Dry,Daylight,Signal,60,27,Female,No,2,Minor
Afternoon,Saturday,Feb,Clear,Rural Road,Dry,No Lighting,Speed Breaker,40,68,Female,No,1,Minor
Evening,Wednesday,May,Clear,Highway,Wet,No Lighting,Signal,120,74,Male,Yes,2,Major
Morning,Monday,Mar,Clear,Rural Road,Wet,Street Lit,Signal,80,75,Male,No,2,Fatal
Night,Monday,Dec,Clear,City Road,Wet,Daylight,Speed Breaker,60,45,Male,No,3,Minor
Morning,Monday,Aug,Rain,Highway,Dry,Street Lit,Signal,40,53,Male,No,1,Minor
Morning,Sunday,Apr,Clear,Highway,Dry,Street Lit,Signal,60,27,Male,No,2,Major
Evening,Tuesday,Jan,Clear,Highway,Dry,No Lighting,Signal,80,67,Female,No,2,Minor
Afternoon,Thursday,Jan,Clear,Rural Road,Wet,Daylight,Signal,50,52,Male,No,1,Minor
Afternoon,Friday,Dec,Clear,City Road,Dry,Street Lit,Signal,60,70,Male,No,3,Major
Morning,Wednesday,Oct,Storm,City Road,Wet,Daylight,Signal,100,52,Female,No,1,Minor
Night,Saturday,Mar,Clear,Highway,Dry,Daylight,Signal,80,54,Female,No,1,Major
Afternoon,Wednesday,Sep,Rain,City Road,Dry,Daylight,Signal,100,65,Female,No,1,Fatal
Night,Saturday,Jul,Rain,Highway,Dry,Street Lit,None,100,37,Female,No,1,Minor
Afternoon,Sunday,Feb,Storm,Highway,Dry,Daylight,Signal,100,30,Male,No,3,Minor
Night,Tuesday,Sep,Fog,City Road,Dry,Daylight,Signal,60,28,Female,No,2,Minor
Evening,Monday,Oct,Rain,Highway,Under Construction,No Lighting,Speed Breaker,60,75,Female,Yes,1,Minor
Night,Tuesday,Feb,Rain,City Road,Under Construction,Daylight,None,80,62,Male,No,2,Major
Evening,Sunday,Mar,Fog,Highway,Dry,Street Lit,Speed Breaker,80,36,Male,No,1,Minor
Evening,Thursday,Nov,Clear,City Road,Dry,Daylight,Signal,120,45,Male,No,1,Minor
Night,Thursday,Oct,Clear,City Road,Dry,Daylight,Speed Breaker,30,55,Female,No,1,Minor
Evening,Sunday,Feb,Clear,City Road,Under Construction,Street Lit,Speed Breaker,60,73,Male,Yes,1,Minor
Morning,Saturday,Mar,Fog,Highway,Dry,No Lighting,Speed Breaker,50,62,Male,No,1,Minor
Evening,Friday,Jun,Fog,Highway,Potholes,Daylight,Speed Breaker,50,77,Male,Yes,2,Major
Afternoon,Friday,Sep,Clear,Rural Road,Dry,Street Lit,None,50,21,Male,No,1,Minor
Night,Saturday,Sep,Rain,Highway,Dry,Daylight,None,80,74,Male,Yes,1,Minor
Morning,Thursday,Jul,Clear,City Road,Potholes,Daylight,Speed Breaker,40,71,Male,No,1,Minor
Night,Thursday,Dec,Clear,Rural Road,Dry,Daylight,Signal,80,54,Female,Yes,1,Fatal
Afternoon,Thursday,Mar,Snow,Highway,Dry,Daylight,Speed Breaker,80,36,Male,No,3,Minor
Afternoon,Tuesday,Apr,Clear,Highway,Dry,Daylight,None,50,54,Male,No,1,Major
Afternoon,Thursday,Jun,Clear,City Road,Dry,Daylight,Signal,50,70,Male,No,3,Minor
Evening,Wednesday,Nov,Rain,Rural Road,Dry,Daylight,None,80,31,Male,No,1,Major
Evening,Monday,May,Rain,Rural Road,Wet,Daylight,Signal,80,48,Male,No,2,Minor
Night,Thursday,Feb,Clear,City Road,Wet,Daylight,Signal,100,45,Male,No,1,Fatal
Night,Saturday,Jun,Rain,City Road,Dry,Daylight,None,100,77,Male,No,4,Major
Morning,Monday,Mar,Clear,Highway,Potholes,No Lighting,Signal,120,53,Male,No,1,Major
Morning,Tuesday,Aug,Clear,Rural Road,Dry,Street Lit,Signal,60,61,Male,No,1,Minor
Night,Saturday,Feb,Clear,Rural Road,Dry,Daylight,Signal,100,55,Male,No,4,Major
Evening,Monday,Jan,Rain,Highway,Dry,No Lighting,Signal,100,36,Male,No,3,Major
Afternoon,Saturday,Sep,Clear,Highway,Dry,Street Lit,Signal,100,59,Male,No,1,Minor
Night,Tuesday,Dec,Storm,Highway,Dry,Daylight,Signal,30,18,Male,No,4,Minor
Morning,Wednesday,Mar,Fog,Highway,Potholes,Daylight,Signal,120,40,Female,No,2,Major
Evening,Tuesday,Nov,Snow,City Road,Dry,Street Lit,None,60,72,Female,No,1,Minor
Night,Tuesday,Jan,Clear,Highway,Dry,Daylight,None,80,45,Male,No,1,Major
Night,Saturday,Jul,Snow,Highway,Dry,Street Lit,Signal,40,65,Male,Yes,1,Minor
Evening,Sunday,Oct,Clear,Highway,Wet,Street Lit,Speed Breaker,60,21,Male,No,1,Minor
Night,Friday,May,Clear,Rural Road,Under Construction,Street Lit,Signal,50,58,Male,No,2,Major
Evening,Thursday,May,Clear,City Road,Dry,No Lighting,Signal,50,77,Female,No,1,Minor
Afternoon,Thursday,Jan,Clear,City Road,Dry,Daylight,Signal,40,35,Female,No,1,Fatal
Evening,Wednesday,Sep,Rain,Highway,Dry,Daylight,None,100,78,Female,No,3,Major
Evening,Wednesday,Jul,Clear,Rural Road,Dry,Street Lit,None,30,66,Female,No,1,Major
Evening,Thursday,Aug,Clear,City Road,Dry,Daylight,Signal,50,64,Female,No,4,Major
Night,Friday,Sep,Rain,Highway,Dry,Street Lit,Signal,50,68,Male,No,4,Major
Night,Thursday,Jun,Clear,Highway,Dry,No Lighting,Signal,60,56,Male,No,3,Minor
Evening,Sunday,Dec,Rain,Highway,Dry,Street Lit,Speed Breaker,50,42,Female,No,2,Major
Night,Friday,May,Clear,Highway,Dry,Daylight,Speed Breaker,50,35,Male,No,1,Minor
Morning,Wednesday,Jun,Fog,City Road,Potholes,Daylight,Signal,60,23,Male,No,1,Minor
Morning,Monday,Nov,Fog,Rural Road,Potholes,Daylight,Speed Breaker,80,36,Male,No,1,Minor
Night,Saturday,Feb,Clear,City Road,Dry,Daylight,Signal,40,70,Female,No,1,Major
Night,Sunday,Apr,Clear,City Road,Dry,Street Lit,None,50,29,Male,Yes,2,Minor
Evening,Sunday,Mar,Clear,City Road,Dry,Street Lit,Speed Breaker,50,42,Male,Yes,1,Minor
Afternoon,Wednesday,Jul,Fog,City Road,Dry,Street Lit,Signal,120,52,Female,No,4,Major
Night,Wednesday,Sep,Clear,City Road,Wet,Daylight,Speed Breaker,60,18,Female,No,3,Minor
Morning,Tuesday,May,Clear,Highway,Dry,Daylight,None,60,22,Female,No,1,Major
Evening,Sunday,Jun,Clear,Highway,Under Construction,Street Lit,Signal,50,18,Male,No,1,Major
Night,Tuesday,Oct,Clear,City Road,Potholes,Daylight,Signal,60,25,Male,No,1,Minor
Morning,Tuesday,Dec,Clear,Highway,Dry,Daylight,None,40,56,Female,No,3,Minor
Morning,Saturday,Dec,Fog,Highway,Dry,Street Lit,Signal,30,64,Male,No,2,Major
Afternoon,Tuesday,Feb,Clear,City Road,Dry,Street Lit,Signal,60,60,Male,No,1,Minor
Evening,Friday,Mar,Clear,Rural Road,Dry,Daylight,Signal,60,35,Male,No,1,Minor
Evening,Thursday,Mar,Fog,City Road,Dry,Street Lit,None,40,63,Male,Yes,1,Minor
Afternoon,Monday,Dec,Fog,City Road,Dry,Daylight,Speed Breaker,80,76,Male,Yes,4,Minor
Afternoon,Wednesday,Dec,Clear,City Road,Under Construction,No Lighting,None,120,26,Male,No,1,Minor
Evening,Friday,Sep,Clear,City Road,Dry,Daylight,Speed Breaker,60,22,Male,No,1,Minor
Evening,Monday,Jul,Clear,City Road,Dry,Daylight,Signal,80,72,Female,No,3,Major
Night,Sunday,Aug,Storm,Rural Road,Wet,Street Lit,Speed Breaker,120,21,Male,No,3,Minor
Night,Sunday,Nov,Clear,City Road,Wet,Daylight,Speed Breaker,100,61,Male,Yes,3,Major
Afternoon,Sunday,Oct,Storm,City Road,Dry,Street Lit,Signal,60,46,Male,No,1,Minor
Night,Friday,Nov,Rain,City Road,Under Construction,Street Lit,Signal,80,18,Male,Yes,2,Minor
Morning,Friday,Sep,Clear,City Road,Dry,Street Lit,Signal,40,47,Female,No,1,Major
Night,Wednesday,Jun,Clear,Highway,Dry,No Lighting,Speed Breaker,60,73,Male,No,1,Major
Night,Thursday,Apr,Clear,Highway,Dry,Daylight,None,50,62,Female,Yes,1,Major
Morning,Tuesday,Dec,Clear,Highway,Dry,Street Lit,Speed Breaker,50,18,Male,No,1,Major
Afternoon,Sunday,Jan,Clear,Rural Road,Under Construction,Daylight,None,60,20,Male,No,1,Major
Morning,Saturday,Aug,Rain,Highway,Wet,Daylight,Signal,40,39,Male,Yes,3,Minor
Night,Thursday,Jul,Snow,Highway,Under Construction,Street Lit,None,80,25,Male,No,1,Major
Afternoon,Saturday,Feb,Rain,City Road,Dry,Daylight,None,60,73,Male,No,3,Major
Night,Wednesday,Aug,Rain,Highway,Dry,Daylight,Signal,60,35,Male,Yes,1,Fatal
Morning,Wednesday,Dec,Clear,City Road,Dry,Daylight,None,40,42,Male,Yes,1,Major
Morning,Wednesday,May,Clear,Highway,Dry,Street Lit,Signal,40,65,Female,No,2,Major
Night,Monday,Jul,Clear,Rural Road,Wet,No Lighting,None,60,69,Female,No,2,Minor
Evening,Saturday,Apr,Rain,Rural Road,Wet,Daylight,None,120,37,Male,No,1,Major
Evening,Thursday,May,Storm,Rural Road,Dry,Daylight,Speed Breaker,40,48,Male,No,3,Fatal
Morning,Thursday,Aug,Rain,City Road,Dry,Street Lit,Speed Breaker,50,47,Male,No,1,Major
Morning,Friday,Jan,Clear,City Road,Dry,Daylight,Signal,100,33,Female,No,3,Major
Evening,Friday,Jan,Clear,Highway,Dry,Daylight,Speed Breaker,40,19,Male,No,1,Minor
Evening,Sunday,Apr,Rain,Highway,Dry,Daylight,Signal,100,34,Male,No,3,Major
Night,Friday,Mar,Clear,Highway,Dry,Daylight,Speed Breaker,60,27,Male,Yes,1,Major
Night,Wednesday,Oct,Fog,City Road,Dry,Daylight,Speed Breaker,60,24,Male,No,2,Major
Evening,Thursday,Dec,Fog,City Road,Dry,Street Lit,None,50,76,Male,No,2,Minor
Night,Saturday,Feb,Rain,City Road,Dry,Daylight,Signal,50,59,Male,No,1,Major
Night,Wednesday,Dec,Clear,Highway,Dry,No Lighting,None,50,68,Female,No,3,Minor
Afternoon,Monday,Mar,Clear,City Road,Wet,Street Lit,None,100,69,Female,No,1,Major
Night,Friday,Nov,Clear,City Road,Dry,Street Lit,Speed Breaker,80,76,Male,No,1,Minor
Morning,Wednesday,Nov,Clear,City Road,Potholes,Daylight,Signal,80,26,Male,No,2,Major
Night,Wednesday,Nov,Clear,City Road,Dry,Daylight,Signal,80,71,Male,No,1,Minor
Night,Monday,Jan,Rain,Highway,Dry,Daylight,Signal,50,79,Female,Yes,1,Minor
Evening,Tuesday,Jan,Rain,City Road,Dry,No Lighting,Speed Breaker,80,34,Female,No,1,Major
Morning,Thursday,Jun,Clear,City Road,Dry,Daylight,Speed Breaker,60,26,Male,No,2,Minor
Night,Saturday,May,Clear,Highway,Under Construction,Daylight,None,80,26,Male,No,1,Major
Night,Sunday,Aug,Clear,Highway,Dry,Daylight,Signal,50,54,Male,No,1,Fatal
Afternoon,Tuesday,Feb,Clear,City Road,Potholes,Daylight,Signal,80,41,Male,No,2,Fatal
Night,Friday,Apr,Fog,City Road,Under Construction,Daylight,Speed Breaker,100,56,Male,Yes,3,Minor
Night,Wednesday,Aug,Clear,City Road,Dry,Daylight,None,60,28,Female,No,3,Major
Afternoon,Monday,Dec,Clear,Highway,Dry,Daylight,None,40,25,Male,No,2,Minor
Evening,Monday,Jun,Clear,Rural Road,Wet,Daylight,None,60,42,Male,No,2,Fatal
Night,Thursday,Jan,Fog,City Road,Dry,Daylight,Signal,50,63,Female,No,1,Major
Afternoon,Tuesday,Apr,Rain,City Road,Wet,Street Lit,Speed Breaker,80,19,Male,No,1,Minor
Morning,Sunday,Jan,Clear,City Road,Dry,Daylight,None,120,27,Female,No,2,Minor
Evening,Thursday,Feb,Clear,Highway,Dry,Daylight,Signal,60,70,Male,No,4,Minor
Morning,Wednesday,May,Rain,City Road,Dry,Daylight,Signal,60,41,Female,No,2,Major
Morning,Thursday,Aug,Snow,Highway,Dry,Daylight,Signal,80,65,Male,No,1,Minor
Afternoon,Saturday,Aug,Clear,Rural Road,Under Construction,No Lighting,Signal,40,33,Male,No,1,Major
Night,Monday,Nov,Fog,City Road,Dry,Daylight,Speed Breaker,50,36,Male,No,2,Major
Afternoon,Monday,Mar,Storm,City Road,Under Construction,Street Lit,Signal,100,76,Male,No,2,Fatal
Afternoon,Friday,Nov,Storm,City Road,Dry,Street Lit,Signal,80,48,Male,No,2,Fatal
Afternoon,Friday,Apr,Rain,Rural Road,Dry,Street Lit,Signal,30,28,Female,No,1,Minor
Afternoon,Sunday,Oct,Rain,City Road,Dry,Daylight,Speed Breaker,50,23,Female,No,1,Major
Evening,Wednesday,Nov,Clear,City Road,Dry,Daylight,Signal,80,23,Male,No,3,Major
Night,Saturday,Jun,Rain,City Road,Dry,Street Lit,Speed Breaker,80,49,Male,Yes,2,Major
Morning,Tuesday,Nov,Clear,City Road,Dry,Daylight,Signal,100,56,Female,No,1,Minor
Morning,Thursday,Nov,Rain,City Road,Under Construction,Street Lit,Signal,50,65,Female,Yes,1,Minor
Night,Sunday,Oct,Clear,Highway,Dry,Street Lit,Signal,100,30,Male,No,3,Minor
Morning,Wednesday,Mar,Rain,City Road,Dry,Street Lit,Signal,60,76,Female,No,3,Minor
Night,Friday,Feb,Fog,Highway,Under Construction,Daylight,Signal,80,20,Male,No,1,Minor
Morning,Thursday,Jun,Clear,Rural Road,Wet,Street Lit,Signal,60,73,Male,No,1,Minor
Afternoon,Friday,Nov,Fog,Highway,Dry,Street Lit,None,40,73,Male,Yes,1,Major
Morning,Thursday,May,Clear,Rural Road,Dry,Street Lit,Speed Breaker,120,58,Female,No,1,Minor
Night,Tuesday,Oct,Fog,City Road,Under Construction,Daylight,Signal,40,73,Male,No,2,Major
Night,Wednesday,May,Clear,City Road,Dry,Daylight,Signal,50,52,Male,No,1,Minor
Night,Thursday,Oct,Clear,City Road,Dry,Daylight,None,100,55,Male,No,2,Major
Night,Saturday,May,Storm,Highway,Dry,Daylight,Speed Breaker,80,74,Male,No,2,Fatal
Night,Sunday,Oct,Clear,Highway,Under Construction,Daylight,Signal,100,34,Male,No,1,Major
Evening,Monday,Dec,Fog,Highway,Dry,No Lighting,Speed Breaker,60,20,Male,No,1,Major
Evening,Saturday,May,Clear,City Road,Potholes,Daylight,Speed Breaker,60,51,Male,No,1,Minor
Morning,Saturday,Mar,Clear,City Road,Dry,Street Lit,Speed Breaker,100,29,Male,No,1,Major
Night,Sunday,Jul,Clear,City Road,Wet,Daylight,Signal,30,41,Female,Yes,1,Minor
Morning,Monday,Jun,Rain,Highway,Dry,Daylight,Signal,100,23,Male,No,2,Minor
Night,Saturday,Apr,Clear,Highway,Dry,Daylight,Signal,50,59,Female,No,2,Minor
Night,Thursday,Feb,Clear,City Road,Under Construction,Daylight,None,100,28,Male,Yes,2,Minor
Evening,Thursday,Dec,Clear,Rural Road,Dry,No Lighting,Speed Breaker,40,65,Male,No,2,Minor
Evening,Thursday,Sep,Clear,City Road,Dry,Daylight,Signal,60,44,Male,No,2,Major
Afternoon,Monday,Jan,Snow,City Road,Dry,Street Lit,None,100,65,Male,No,2,Minor
Evening,Saturday,Nov,Snow,City Road,Dry,Daylight,None,60,41,Male,No,1,Major
Afternoon,Monday,Apr,Clear,Highway,Dry,No Lighting,None,80,35,Female,Yes,4,Major
Afternoon,Thursday,Jan,Rain,Rural Road,Wet,Daylight,None,100,44,Female,No,1,Minor
Afternoon,Sunday,Jun,Clear,City Road,Dry,Daylight,None,80,71,Male,No,1,Minor
Afternoon,Saturday,Apr,Rain,Highway,Dry,Daylight,Signal,100,72,Male,No,1,Major
Afternoon,Saturday,May,Fog,City Road,Dry,Daylight,None,60,73,Female,No,4,Minor
Morning,Friday,May,Storm,Highway,Wet,Daylight,None,50,58,Male,Yes,4,Minor
Evening,Friday,Sep,Clear,Rural Road,Wet,Street Lit,Signal,30,38,Male,No,2,Major
Afternoon,Tuesday,Jan,Rain,Highway,Dry,Street Lit,Signal,50,76,Female,No,2,Minor
Night,Wednesday,Feb,Clear,City Road,Dry,Street Lit,None,40,68,Female,No,1,Minor
Evening,Friday,Jun,Snow,Highway,Potholes,Daylight,Signal,60,51,Male,No,4,Minor
Evening,Monday,May,Clear,City Road,Dry,Daylight,None,50,73,Male,No,2,Minor
Afternoon,Friday,Nov,Rain,City Road,Under Construction,Daylight,Signal,30,50,Male,No,3,Minor
Morning,Tuesday,Jul,Rain,City Road,Under Construction,No Lighting,Signal,30,75,Female,No,1,Minor
Afternoon,Saturday,Mar,Rain,City Road,Wet,Street Lit,Signal,100,65,Female,No,1,Minor
Morning,Tuesday,Mar,Clear,Rural Road,Dry,Street Lit,Signal,60,71,Male,No,3,Minor
Night,Saturday,Oct,Storm,Highway,Under Construction,Street Lit,Speed Breaker,60,35,Female,Yes,1,Fatal
Evening,Sunday,Feb,Clear,Highway,Wet,Daylight,Speed Breaker,100,20,Female,No,3,Minor
Night,Sunday,Mar,Rain,Highway,Dry,Daylight,Signal,40,41,Male,No,1,Major
Morning,Saturday,Oct,Clear,Rural Road,Dry,Daylight,Signal,120,18,Female,No,3,Minor
Morning,Wednesday,Jan,Clear,Highway,Dry,Daylight,Signal,80,23,Male,No,1,Minor
Night,Friday,May,Clear,City Road,Dry,Daylight,Signal,50,36,Male,Yes,2,Major
Morning,Monday,Dec,Clear,City Road,Dry,Daylight,Speed Breaker,80,39,Male,No,1,Major
Night,Monday,May,Clear,Highway,Dry,Street Lit,Signal,80,68,Female,No,2,Minor
Evening,Thursday,Dec,Clear,Highway,Dry,Street Lit,Signal,60,60,Male,No,1,Minor
Night,Saturday,Nov,Clear,Highway,Dry,Street Lit,Signal,100,76,Male,No,4,Minor
Evening,Monday,Jul,Rain,City Road,Dry,No Lighting,Signal,50,25,Female,No,2,Major
Night,Wednesday,Apr,Fog,Highway,Wet,Daylight,Signal,50,22,Male,No,1,Minor
Morning,Saturday,Mar,Clear,Highway,Potholes,Daylight,Signal,40,69,Female,No,3,Minor
Night,Wednesday,Jan,Clear,Rural Road,Dry,Street Lit,None,50,26,Male,No,1,Major
Morning,Monday,Dec,Clear,Rural Road,Dry,Daylight,None,50,64,Male,No,1,Fatal
Night,Monday,Aug,Clear,Highway,Dry,Daylight,None,100,38,Male,No,1,Major
Night,Thursday,Mar,Rain,Highway,Wet,Daylight,Signal,40,45,Female,No,3,Minor
Afternoon,Monday,Feb,Rain,Highway,Wet,Daylight,Signal,60,63,Male,No,1,Major
Morning,Saturday,Nov,Clear,City Road,Potholes,Daylight,Speed Breaker,60,21,Male,Yes,1,Major
Afternoon,Sunday,Apr,Clear,City Road,Dry,Daylight,Speed Breaker,100,73,Female,No,3,Major
Morning,Saturday,Mar,Clear,Highway,Potholes,Daylight,None,120,41,Male,No,2,Major
Afternoon,Saturday,Jan,Fog,Highway,Dry,Street Lit,Signal,80,25,Female,Yes,1,Fatal
Evening,Thursday,Mar,Snow,City Road,Wet,Daylight,Signal,120,69,Female,No,2,Minor
Night,Thursday,Dec,Clear,City Road,Dry,Daylight,Speed Breaker,80,78,Male,No,3,Minor
Morning,Monday,Feb,Clear,Highway,Under Construction,Daylight,None,120,34,Male,No,1,Major
Morning,Tuesday,Aug,Fog,City Road,Dry,Daylight,None,80,51,Male,No,2,Minor
Night,Tuesday,Jun,Storm,Highway,Wet,Street Lit,Speed Breaker,40,37,Male,Yes,1,Minor
Morning,Thursday,Sep,Clear,Highway,Under Construction,Street Lit,None,60,33,Female,No,2,Minor
Morning,Monday,Aug,Clear,City Road,Dry,Street Lit,Speed Breaker,80,27,Female,Yes,1,Major
Afternoon,Tuesday,Oct,Clear,City Road,Dry,Daylight,None,60,51,Male,No,2,Minor
Morning,Monday,Mar,Rain,City Road,Under Construction,Daylight,None,50,60,Male,Yes,1,Major
Evening,Monday,May,Clear,Rural Road,Dry,Daylight,None,60,27,Male,No,2,Minor
Evening,Monday,Jul,Clear,City Road,Dry,Daylight,Signal,100,47,Male,No,1,Minor
Night,Friday,May,Rain,City Road,Dry,Daylight,Signal,30,47,Male,No,1,Minor
Morning,Saturday,Aug,Clear,City Road,Dry,Daylight,Speed Breaker,80,68,Male,Yes,1,Minor
Night,Monday,Dec,Rain,Rural Road,Dry,Daylight,Signal,80,42,Male,No,2,Major
Evening,Friday,May,Clear,Rural Road,Dry,Street Lit,None,120,74,Male,No,1,Major
Morning,Thursday,Jan,Clear,Highway,Dry,Daylight,Signal,100,63,Female,No,1,Major
Morning,Tuesday,May,Rain,Rural Road,Dry,Street Lit,Signal,80,60,Male,No,1,Minor
Night,Saturday,Apr,Clear,City Road,Under Construction,Daylight,Speed Breaker,60,58,Female,No,2,Minor
Evening,Sunday,Jun,Snow,City Road,Potholes,Daylight,Signal,50,24,Male,No,1,Minor
Morning,Tuesday,Mar,Clear,Highway,Wet,No Lighting,Signal,60,64,Female,Yes,2,Minor
Night,Saturday,Nov,Clear,City Road,Dry,No Lighting,Signal,80,37,Male,Yes,1,Minor
Evening,Sunday,May,Rain,Rural Road,Potholes,Daylight,Speed Breaker,100,34,Female,No,1,Major
Night,Tuesday,Feb,Clear,Highway,Dry,Daylight,Signal,80,20,Female,No,1,Minor
Afternoon,Saturday,Nov,Storm,Rural Road,Dry,Daylight,None,50,64,Male,No,3,Minor
Morning,Tuesday,Jun,Clear,Highway,Potholes,Daylight,Signal,60,63,Male,No,1,Fatal
Afternoon,Tuesday,Dec,Clear,Highway,Wet,Street Lit,None,50,57,Female,Yes,1,Minor
Evening,Sunday,Jun,Clear,City Road,Wet,No Lighting,Signal,30,53,Female,Yes,1,Fatal
Afternoon,Tuesday,May,Clear,City Road,Wet,Street Lit,Signal,50,43,Female,No,2,Fatal
Afternoon,Tuesday,Jun,Fog,City Road,Dry,Daylight,Signal,40,27,Female,No,1,Minor
Evening,Sunday,Nov,Fog,Highway,Dry,Street Lit,Signal,100,51,Male,No,2,Minor
Night,Thursday,Jul,Clear,Rural Road,Wet,Daylight,Speed Breaker,50,31,Male,Yes,1,Major
Afternoon,Monday,Dec,Clear,Highway,Dry,No Lighting,Signal,50,25,Male,Yes,1,Minor
Night,Wednesday,May,Fog,Highway,Dry,Street Lit,Signal,120,72,Female,No,1,Minor
Afternoon,Friday,Jan,Storm,Highway,Wet,Daylight,Speed Breaker,60,44,Male,Yes,2,Major
Night,Wednesday,Aug,Clear,City Road,Wet,Daylight,Signal,30,27,Male,No,2,Minor
Evening,Wednesday,Apr,Clear,Rural Road,Dry,Daylight,Signal,50,74,Female,No,1,Minor
Afternoon,Saturday,Sep,Clear,City Road,Wet,Daylight,Speed Breaker,40,67,Female,Yes,3,Major
Evening,Monday,Oct,Fog,City Road,Under Construction,Street Lit,None,40,32,Male,Yes,1,Major
Afternoon,Saturday,Dec,Clear,Highway,Wet,Daylight,Signal,40,54,Male,No,2,Minor
Evening,Monday,Jun,Clear,City Road,Dry,Daylight,Signal,60,39,Male,No,1,Minor
Evening,Sunday,Jan,Rain,City Road,Dry,Daylight,None,50,62,Male,No,1,Minor
Afternoon,Sunday,Mar,Clear,City Road,Dry,Street Lit,Signal,60,67,Female,No,2,Minor
Afternoon,Monday,Mar,Clear,Highway,Dry,Daylight,None,100,48,Male,No,2,Major
Afternoon,Tuesday,Oct,Clear,City Road,Dry,Street Lit,Signal,60,19,Female,No,1,Major
Morning,Thursday,Dec,Clear,City Road,Dry,Street Lit,None,100,62,Female,No,1,Major
Night,Tuesday,Dec,Clear,City Road,Dry,No Lighting,Signal,60,48,Male,Yes,1,Minor
Morning,Thursday,Apr,Clear,City Road,Potholes,Daylight,None,60,79,Male,Yes,2,Minor
Morning,Saturday,Jun,Clear,Highway,Dry,Daylight,Signal,80,31,Male,No,1,Minor
Evening,Thursday,Jul,Rain,City Road,Wet,Daylight,Speed Breaker,40,27,Male,No,2,Minor
Afternoon,Saturday,Oct,Fog,Highway,Wet,Daylight,Signal,40,47,Male,No,1,Minor
Night,Sunday,Apr,Rain,Rural Road,Dry,Daylight,Signal,80,53,Female,No,1,Minor
Evening,Wednesday,Jun,Clear,City Road,Potholes,Street Lit,Speed Breaker,60,64,Male,No,1,Minor
Morning,Sunday,Nov,Clear,Highway,Dry,Daylight,Speed Breaker,80,57,Female,No,1,Major
Afternoon,Sunday,Jan,Clear,Rural Road,Dry,Street Lit,None,100,32,Male,No,1,Major
Evening,Wednesday,Aug,Clear,City Road,Wet,Daylight,Signal,60,31,Male,No,1,Minor
Afternoon,Thursday,Jul,Clear,Highway,Dry,Street Lit,None,60,48,Female,No,2,Minor
Evening,Thursday,Nov,Rain,City Road,Wet,Street Lit,Signal,60,46,Male,Yes,1,Major
Afternoon,Saturday,Nov,Clear,Highway,Dry,Street Lit,None,120,44,Male,No,2,Fatal
Morning,Tuesday,Sep,Clear,City Road,Under Construction,Street Lit,None,100,38,Male,No,1,Minor
